"rgn_id","count","year"
1,4514593,1960
2,4514593,1960
6,4514593,1960
1,4644682,1961
2,4644682,1961
6,4644682,1961
1,4779559,1962
2,4779559,1962
6,4779559,1962
1,4919224,1963
2,4919224,1963
6,4919224,1963
1,5063645,1964
2,5063645,1964
6,5063645,1964
1,5212760,1965
2,5212760,1965
6,5212760,1965
1,5366554,1966
2,5366554,1966
6,5366554,1966
1,5524930,1967
2,5524930,1967
6,5524930,1967
1,5687634,1968
2,5687634,1968
6,5687634,1968
1,5854337,1969
2,5854337,1969
6,5854337,1969
1,6024764,1970
2,6024764,1970
6,6024764,1970
1,6198787,1971
2,6198787,1971
6,6198787,1971
1,6376333,1972
2,6376333,1972
6,6376333,1972
1,6557257,1973
2,6557257,1973
6,6557257,1973
1,6741417,1974
2,6741417,1974
6,6741417,1974
1,6928694,1975
2,6928694,1975
6,6928694,1975
1,7119087,1976
2,7119087,1976
6,7119087,1976
1,7312553,1977
2,7312553,1977
6,7312553,1977
1,7508899,1978
2,7508899,1978
6,7508899,1978
1,7707895,1979
2,7707895,1979
6,7707895,1979
1,7909432,1980
2,7909432,1980
6,7909432,1980
1,8113200,1981
2,8113200,1981
6,8113200,1981
1,8319351,1982
2,8319351,1982
6,8319351,1982
1,8528791,1983
2,8528791,1983
6,8528791,1983
1,8742761,1984
2,8742761,1984
6,8742761,1984
1,8962049,1985
2,8962049,1985
6,8962049,1985
1,9186995,1986
2,9186995,1986
6,9186995,1986
1,9417031,1987
2,9417031,1987
6,9417031,1987
1,9650906,1988
2,9650906,1988
6,9650906,1988
1,9886866,1989
2,9886866,1989
6,9886866,1989
1,10123593,1990
2,10123593,1990
6,10123593,1990
1,10360630,1991
2,10360630,1991
6,10360630,1991
1,10598168,1992
2,10598168,1992
6,10598168,1992
1,10836327,1993
2,10836327,1993
6,10836327,1993
1,11075454,1994
2,11075454,1994
6,11075454,1994
1,11315800,1995
2,11315800,1995
6,11315800,1995
1,11557151,1996
2,11557151,1996
6,11557151,1996
1,11799289,1997
2,11799289,1997
6,11799289,1997
1,12042454,1998
2,12042454,1998
6,12042454,1998
1,12286995,1999
2,12286995,1999
6,12286995,1999
1,12533087,2000
2,12533087,2000
6,12533087,2000
1,12780869,2001
2,12780869,2001
6,12780869,2001
1,13030041,2002
2,13030041,2002
6,13030041,2002
1,13279806,2003
2,13279806,2003
6,13279806,2003
1,13529091,2004
2,13529091,2004
6,13529091,2004
1,13777131,2005
2,13777131,2005
6,13777131,2005
1,14023503,2006
2,14023503,2006
6,14023503,2006
1,14268397,2007
2,14268397,2007
6,14268397,2007
1,14512402,2008
2,14512402,2008
6,14512402,2008
1,14756424,2009
2,14756424,2009
6,14756424,2009
1,15001072,2010
2,15001072,2010
6,15001072,2010
1,15246481,2011
2,15246481,2011
6,15246481,2011
1,15492264,2012
2,15492264,2012
6,15492264,2012
