"rgn_id","year","jobs"
1,1990,433154.221166104
2,1990,3145797.21718232
6,1990,261151.276133334
1,1991,448795.498290456
2,1991,3259392.52261072
6,1991,270581.495860578
1,1992,466278.439955197
2,1992,3386362.97920477
6,1992,281122.066177589
1,1993,484184.14327517
2,1993,3516403.75665356
6,1993,291917.522030443
1,1994,500920.918018546
2,1994,3637955.15068264
6,1994,302008.22383827
1,1995,519586.914424646
2,1995,3773517.58244693
6,1995,313262.064949711
1,1996,536966.511192363
2,1996,3899737.49322247
6,1996,323740.328008889
1,1997,554640.682657645
2,1997,4028096.76272654
6,1997,334396.19191882
1,1998,573537.140965184
2,1998,4165332.93186378
6,1998,345788.979891956
1,1999,595595.820952705
2,1999,4325534.84316606
6,1999,359088.29026933
1,2000,615545.500117193
2,2000,4470420.06448602
6,2000,371116.0714098
1,2001,675738.730887602
2,2001,4907575.44378948
6,2001,407406.931020868
1,2002,681291.706637046
2,2002,4947904.11844179
6,2002,410754.853383025
1,2003,685464.019702273
2,2003,4978205.68353902
6,2003,413270.365937603
1,2004,722645.756354357
2,2004,5248239.30661037
6,2004,435687.457820962
1,2005,728452.417402814
2,2005,5290410.37934788
6,2005,439188.328570405
1,2006,758168.484427583
2,2006,5506224.32362957
6,2006,457104.323488543
1,2007,752425.933253143
2,2007,5464518.85102574
6,2007,453642.1049664
1,2008,756820.798608685
2,2008,5496436.70967695
6,2008,456291.795630718
1,2009,769886.256015259
2,2009,5591325.03707259
6,2009,464169.038211448
1,2010,791104.749881822
2,2010,5745425.06818516
6,2010,476961.795340682
1,2011,810304.7260953
2,2011,5884865.54640495
6,2011,488537.5760785
1,2012,829739.909655007
2,2012,6026014.22595137
6,2012,500255.16473512
