"rgn_id","product","year","usd"
1,"corals",1994,33.3333333333333
2,"corals",1994,33.3333333333333
6,"corals",1994,33.3333333333333
1,"corals",1995,34.5
2,"corals",1995,34.5
6,"corals",1995,34.5
1,"corals",1996,32.5
2,"corals",1996,32.5
6,"corals",1996,32.5
1,"corals",1997,30.75
2,"corals",1997,30.75
6,"corals",1997,30.75
1,"corals",1998,20
2,"corals",1998,20
6,"corals",1998,20
1,"corals",1999,13.75
2,"corals",1999,13.75
6,"corals",1999,13.75
1,"corals",2000,10.75
2,"corals",2000,10.75
6,"corals",2000,10.75
1,"corals",2001,5.25
2,"corals",2001,5.25
6,"corals",2001,5.25
1,"corals",2002,9
2,"corals",2002,9
6,"corals",2002,9
1,"corals",2003,5.75
2,"corals",2003,5.75
6,"corals",2003,5.75
1,"corals",2004,5.5
2,"corals",2004,5.5
6,"corals",2004,5.5
1,"corals",2005,70
2,"corals",2005,70
6,"corals",2005,70
1,"corals",2006,67.75
2,"corals",2006,67.75
6,"corals",2006,67.75
1,"corals",2007,67.75
2,"corals",2007,67.75
6,"corals",2007,67.75
1,"corals",2008,67.25
2,"corals",2008,67.25
6,"corals",2008,67.25
1,"corals",2009,2.5
2,"corals",2009,2.5
6,"corals",2009,2.5
1,"corals",2010,0
2,"corals",2010,0
6,"corals",2010,0
1,"corals",2011,0
2,"corals",2011,0
6,"corals",2011,0
1,"fish_oil",1976,2001.66666666667
2,"fish_oil",1976,2001.66666666667
6,"fish_oil",1976,2001.66666666667
1,"fish_oil",1977,1842.5
2,"fish_oil",1977,1842.5
6,"fish_oil",1977,1842.5
1,"fish_oil",1978,1611.5
2,"fish_oil",1978,1611.5
6,"fish_oil",1978,1611.5
1,"fish_oil",1979,1144
2,"fish_oil",1979,1144
6,"fish_oil",1979,1144
1,"fish_oil",1980,341.25
2,"fish_oil",1980,341.25
6,"fish_oil",1980,341.25
1,"fish_oil",1981,0
2,"fish_oil",1981,0
6,"fish_oil",1981,0
1,"fish_oil",1982,0
2,"fish_oil",1982,0
6,"fish_oil",1982,0
1,"fish_oil",1983,345.75
2,"fish_oil",1983,345.75
6,"fish_oil",1983,345.75
1,"fish_oil",1984,807.5
2,"fish_oil",1984,807.5
6,"fish_oil",1984,807.5
1,"fish_oil",1985,807.5
2,"fish_oil",1985,807.5
6,"fish_oil",1985,807.5
1,"fish_oil",1986,807.5
2,"fish_oil",1986,807.5
6,"fish_oil",1986,807.5
1,"fish_oil",1987,461.75
2,"fish_oil",1987,461.75
6,"fish_oil",1987,461.75
1,"fish_oil",1988,0
2,"fish_oil",1988,0
6,"fish_oil",1988,0
1,"fish_oil",1989,0
2,"fish_oil",1989,0
6,"fish_oil",1989,0
1,"fish_oil",1990,0
2,"fish_oil",1990,0
6,"fish_oil",1990,0
1,"fish_oil",1991,0
2,"fish_oil",1991,0
6,"fish_oil",1991,0
1,"fish_oil",1992,3.5
2,"fish_oil",1992,3.5
6,"fish_oil",1992,3.5
1,"fish_oil",1993,16
2,"fish_oil",1993,16
6,"fish_oil",1993,16
1,"fish_oil",1994,61.75
2,"fish_oil",1994,61.75
6,"fish_oil",1994,61.75
1,"fish_oil",1995,477
2,"fish_oil",1995,477
6,"fish_oil",1995,477
1,"fish_oil",1996,473.5
2,"fish_oil",1996,473.5
6,"fish_oil",1996,473.5
1,"fish_oil",1997,502
2,"fish_oil",1997,502
6,"fish_oil",1997,502
1,"fish_oil",1998,483.5
2,"fish_oil",1998,483.5
6,"fish_oil",1998,483.5
1,"fish_oil",1999,492.75
2,"fish_oil",1999,492.75
6,"fish_oil",1999,492.75
1,"fish_oil",2000,555.25
2,"fish_oil",2000,555.25
6,"fish_oil",2000,555.25
1,"fish_oil",2001,1191
2,"fish_oil",2001,1191
6,"fish_oil",2001,1191
1,"fish_oil",2002,2617.75
2,"fish_oil",2002,2617.75
6,"fish_oil",2002,2617.75
1,"fish_oil",2003,3582.75
2,"fish_oil",2003,3582.75
6,"fish_oil",2003,3582.75
1,"fish_oil",2004,4233.75
2,"fish_oil",2004,4233.75
6,"fish_oil",2004,4233.75
