"rgn_id","sciname","popn_trend"
1,"Alopias vulpinus","Decreasing"
2,"Alopias vulpinus","Decreasing"
6,"Alopias vulpinus","Decreasing"
1,"Balaenoptera acutorostrata","Stable"
2,"Balaenoptera acutorostrata","Stable"
6,"Balaenoptera acutorostrata","Stable"
1,"Balaenoptera musculus","Increasing"
2,"Balaenoptera musculus","Increasing"
6,"Balaenoptera musculus","Increasing"
1,"Cetorhinus maximus","Decreasing"
2,"Cetorhinus maximus","Decreasing"
6,"Cetorhinus maximus","Decreasing"
1,"Chelonia mydas","Decreasing"
2,"Chelonia mydas","Decreasing"
6,"Chelonia mydas","Decreasing"
1,"Dermochelys coriacea","Decreasing"
2,"Dermochelys coriacea","Decreasing"
6,"Dermochelys coriacea","Decreasing"
1,"Eretmochelys imbricata","Decreasing"
2,"Eretmochelys imbricata","Decreasing"
6,"Eretmochelys imbricata","Decreasing"
1,"Galeocerdo cuvier","Unknown"
2,"Galeocerdo cuvier","Unknown"
6,"Galeocerdo cuvier","Unknown"
1,"Isurus oxyrinchus","Decreasing"
2,"Isurus oxyrinchus","Decreasing"
6,"Isurus oxyrinchus","Decreasing"
1,"Lepidochelys olivacea","Decreasing"
2,"Lepidochelys olivacea","Decreasing"
6,"Lepidochelys olivacea","Decreasing"
1,"Megaptera novaeangliae","Increasing"
2,"Megaptera novaeangliae","Increasing"
6,"Megaptera novaeangliae","Increasing"
1,"Prionace glauca","Unknown"
2,"Prionace glauca","Unknown"
6,"Prionace glauca","Unknown"
1,"Rhincodon typus","Decreasing"
2,"Rhincodon typus","Decreasing"
6,"Rhincodon typus","Decreasing"
