"rgn_id","year","usd"
1,1998,2613269394.92072
2,1998,18978957582.7239
6,1998,1575555781.32534
1,2002,2776325972.97137
2,2002,20163161509.201
6,2002,1673863569.54272
1,2003,3190969011.14026
2,2003,23174520632.25
6,2003,1923854342.49674
1,2004,3666777609.22511
2,2004,26630096707.9885
6,2004,2210722198.13151
1,2005,4149392726.61417
2,2005,30135105360.9469
6,2005,2501693745.05096
1,2006,4684333880.77983
2,2006,34020133630.0938
6,2006,2824212973.16909
1,2007,5110989949.84271
2,2007,37118737797.3085
6,2007,3081446474.45148
1,2008,6088736861.32682
2,2008,44219657892.1766
6,2008,3670935947.69751
1,2009,5843129443.36061
2,2009,42435925691.9514
6,2009,3522857763.31086
1,2010,6512139899.61214
2,2010,47294636813.0763
6,2010,3926208177.22645
1,2011,7407034077.18737
2,2011,53793836118.8342
6,2011,4465745240.60518
