"rgn_id","species_code","year","tonnes"
1,229,2003,0
2,229,2003,0
6,229,2003,0
1,229,2004,0
2,229,2004,0
6,229,2004,0
1,229,2005,0
2,229,2005,0
6,229,2005,0
1,229,2006,0
2,229,2006,0
6,229,2006,0
1,229,2007,0
2,229,2007,0
6,229,2007,0
1,229,2008,0
2,229,2008,0
6,229,2008,0
1,229,2009,0
2,229,2009,0
6,229,2009,0
1,229,2010,0
2,229,2010,0
6,229,2010,0
1,229,2011,0
2,229,2011,0
6,229,2011,0
1,229,2012,0
2,229,2012,0
6,229,2012,0
1,230,2003,0
2,230,2003,0
6,230,2003,0
1,230,2004,0
2,230,2004,0
6,230,2004,0
1,230,2005,0
2,230,2005,0
6,230,2005,0
1,230,2006,0
2,230,2006,0
6,230,2006,0
1,230,2007,0
2,230,2007,0
6,230,2007,0
1,230,2008,0
2,230,2008,0
6,230,2008,0
1,230,2009,0
2,230,2009,0
6,230,2009,0
1,230,2010,0
2,230,2010,0
6,230,2010,0
1,230,2011,0
2,230,2011,0
6,230,2011,0
1,230,2012,0
2,230,2012,0
6,230,2012,0
1,231,2003,0
2,231,2003,0
6,231,2003,0
1,231,2004,0
2,231,2004,0
6,231,2004,0
1,231,2005,0
2,231,2005,0
6,231,2005,0
1,231,2006,0
2,231,2006,0
6,231,2006,0
1,231,2007,0
2,231,2007,0
6,231,2007,0
1,231,2008,0
2,231,2008,0
6,231,2008,0
1,231,2009,0
2,231,2009,0
6,231,2009,0
1,231,2010,0
2,231,2010,0
6,231,2010,0
1,231,2011,0
2,231,2011,0
6,231,2011,0
1,231,2012,0
2,231,2012,0
6,231,2012,0
1,232,2003,77400
2,232,2003,77400
6,232,2003,77400
1,232,2004,89600
2,232,2004,89600
6,232,2004,89600
1,232,2005,118500
2,232,2005,118500
6,232,2005,118500
1,232,2006,149200
2,232,2006,149200
6,232,2006,149200
1,232,2007,150000
2,232,2007,150000
6,232,2007,150000
1,232,2008,150000
2,232,2008,150000
6,232,2008,150000
1,232,2009,179100
2,232,2009,179100
6,232,2009,179100
1,232,2010,223313
2,232,2010,223313
6,232,2010,223313
1,232,2011,260000
2,232,2011,260000
6,232,2011,260000
1,232,2012,281100
2,232,2012,281100
6,232,2012,281100
